nodeName	altName	nodeAttr[nodesPresent, ]
gbr.43.6	ankyrin repeat and BTB/POZ domain-containing protein 1	turquoise
gbr.237.8_gbr.237.10	centrosomal protein of 97 kDa	turquoise
gbr.283.57	zinc finger MYM-type protein 3-like	turquoise
gbr.250.15	centrosomal protein of 170 kDa-like isoform X1	turquoise
gbr.182.55	Fe-S oxidoreductase	turquoise
gbr.65.51	zinc finger CCCH domain-containing protein 14 isoform X2	turquoise
gbr.25.105	SH3 domain-binding glutamic acid-rich-like protein 3	turquoise
gbr.7.157	run domain Beclin-1-interacting and cysteine-rich domain-containing protein-like	turquoise
gbr.3.67	coatomer subunit alpha isoform X2	turquoise
gbr.402.4	serine/threonine-protein kinase minibrain isoform X3	turquoise
gbr.254.20	sodium/calcium exchanger 3-like isoform X1	turquoise
gbr.26.24	guanylate cyclase 32E-like	turquoise
gbr.469.7	semaphorin-1A-like isoform X1	turquoise
gbr.276.26	ubiquitin carboxyl-terminal hydrolase 5-like	turquoise
gbr.16.80	liprin-beta-1-like isoform X2	turquoise
gbr.85.17	arf-GAP with dual PH domain-containing protein 1 isoform X2	turquoise
gbr.193.4	ATP-binding cassette sub-family A member 1-like isoform X2	turquoise
gbr.45.7	eukaryotic elongation factor 2 kinase	turquoise
gbr.4.87	neuron navigator 2-like isoform X3	turquoise
gbr.33.19	uncharacterized protein LOC110986400	turquoise
gbr.140.25	serine/arginine repetitive matrix protein 1-like	turquoise
gbr.284.22	neural proliferation differentiation and control protein 1-like isoform X1	turquoise
gbr.96.44_gbr.96.45	inner nuclear membrane protein Man1	turquoise
gbr.175.5	homeobox protein cut-like 1 isoform X1	turquoise
gbr.223.15	trafficking protein particle complex subunit 8-like isoform X2	turquoise
gbr.13.39	soluble calcium-activated nucleotidase 1-like	turquoise
gbr.449.13	zinc finger CCHC domain-containing protein 14	turquoise
gbr.133.29	sodium/potassium/calcium exchanger 4 isoform X1	turquoise
gbr.129.39	centlein-like isoform X1	turquoise
gbr.251.35	conserved oligomeric Golgi complex subunit 6-like	turquoise
gbr.82.16	rho GTPase-activating protein 15-like isoform X1	turquoise
gbr.260.3	tricarboxylate transport protein, mitochondrial	turquoise
gbr.65.4	tankyrase-like protein	turquoise
gbr.23.34	ankyrin repeat domain-containing protein 50	turquoise
gbr.232.36	Xaa-Pro aminopeptidase 1	turquoise
gbr.36.29	pollen-specific leucine-rich repeat extensin-like protein 2 isoform X3	turquoise
gbr.71.18	probable dual specificity protein kinase YAK1 homolog isoform X1	turquoise
gbr.137.65	uncharacterized protein LOC110979489 isoform X2	turquoise
gbr.414.7	N-acetylgalactosamine-6-sulfatase isoform X3	turquoise
gbr.21.56	xanthine dehydrogenase/oxidase-like	turquoise
gbr.183.70	nucleolar protein 14-like	turquoise
gbr.1.43	calcium homeostasis endoplasmic reticulum protein isoform X1	turquoise
gbr.30.47	solute carrier family 25 member 44-like	turquoise
gbr.227.13	S phase cyclin A-associated protein in the endoplasmic reticulum-like	turquoise
gbr.9.69	quinone oxidoreductase-like protein 2 homolog	turquoise
gbr.343.11	structural maintenance of chromosomes protein 5-like	turquoise
gbr.5.35	ankyrin repeat and IBR domain-containing protein 1-like	turquoise
gbr.37.22_gbr.37.23	vacuolar protein sorting-associated protein 16 homolog	turquoise
gbr.175.19	rab GTPase-binding effector protein 1-like isoform X2	turquoise
gbr.188.29	tumor necrosis factor receptor superfamily member 27 isoform X1	turquoise
gbr.60.56	breast carcinoma-amplified sequence 3-like isoform X1	turquoise
gbr.200.17	protein phosphatase PTC7 homolog	turquoise
gbr.56.17	putative sodium-coupled neutral amino acid transporter 11 isoform X4	turquoise
gbr.128.18	tectonin beta-propeller repeat-containing protein 1-like isoform X1	turquoise
gbr.113.2	diacylglycerol kinase theta-like isoform X3	turquoise
gbr.118.10	importin subunit alpha-4-like	turquoise
gbr.219.22	cell growth regulator with RING finger domain protein 1	turquoise
gbr.18.22	transmembrane protein 214	turquoise
gbr.14.126	bombesin receptor subtype-3-like	turquoise
gbr.127.15	sorting nexin-13-like isoform X1	turquoise
gbr.224.3_gbr.224.5	serine/threonine-protein kinase H1	turquoise
gbr.81.178	mechanosensory protein 2-like	turquoise
gbr.17.34	janus kinase and microtubule-interacting protein 1 isoform X8	turquoise
gbr.196.27	deleted in malignant brain tumors 1 protein-like	turquoise
gbr.47.44	arginine and glutamate-rich protein 1-like	turquoise
gbr.86.29	beta-galactoside alpha-2,6-sialyltransferase 2-like	turquoise
gbr.203.10	probable ATP-dependent RNA helicase DDX10	turquoise
gbr.244.12_gbr.244.10	ABC transporter G family member 20-like	turquoise
gbr.88.13	histone-lysine N-methyltransferase SETD2-like	turquoise
gbr.149.4_gbr.149.5	protogenin	turquoise
gbr.457.8_gbr.457.9	calcineurin-binding protein cabin-1-like	turquoise
gbr.717.1	adhesion G protein-coupled receptor E1-like isoform X1	turquoise
gbr.66.53	genetic suppressor element 1-like isoform X5	turquoise
gbr.28.66	Small EDRK-rich factor 2	turquoise
gbr.66.34	zinc finger protein 507	turquoise
gbr.76.34	NFX1-type zinc finger-containing protein 1-like	turquoise
gbr.6.85	protein split ends-like isoform X2	turquoise
gbr.33.75	regulator of nonsense transcripts 2-like isoform X1	turquoise
gbr.387.6	collagen alpha-1(X) chain-like	turquoise
gbr.211.29	trifunctional purine biosynthetic protein adenosine-3	turquoise
gbr.167.40	junction-mediating and -regulatory protein-like	turquoise
gbr.144.14	tRNA 2-thiocytidine biosynthesis protein TtcA	turquoise
gbr.207.5	MORC family CW-type zinc finger protein 2A-like	turquoise
gbr.624.1	telomerase protein component 1-like	turquoise
gbr.204.31	remodeling and spacing factor 1-like isoform X3	turquoise
gbr.80.16	cilia- and flagella-associated protein 410-like isoform X2	turquoise
gbr.41.63	kinesin-associated protein 3-like	turquoise
gbr.283.54	zinc finger MYM-type protein 4-like isoform X4	turquoise
gbr.98.17	transcription elongation factor SPT5 isoform X2	turquoise
gbr.137.1	TOG array regulator of axonemal microtubules protein 1-like	turquoise
gbr.72.95_gbr.72.94	cysteine-rich motor neuron 1 protein isoform X1	turquoise
gbr.467.2	glutathione peroxidase-like	turquoise
gbr.233.18	serine/threonine-protein phosphatase PP1-alpha catalytic subunit	turquoise
gbr.60.41	methylthioribulose-1-phosphate dehydratase	turquoise
gbr.490.1_gbr.490.3	poly [ADP-ribose] polymerase 1	turquoise
gbr.36.44	ras-related protein Rab-43-like	turquoise
gbr.301.6	leucine--tRNA ligase, cytoplasmic	turquoise
gbr.19.187	E3 ubiquitin-protein ligase Bre1	turquoise
gbr.299.14	transcriptional coactivator YAP1-A-like isoform X2	turquoise
gbr.76.83	Interferon regulatory factor 8	turquoise
gbr.24.53	kazrin-like isoform X2	turquoise
gbr.560.2	rho guanine nucleotide exchange factor 11-like isoform X7	turquoise
gbr.10.104	large neutral amino acids transporter small subunit 1-like	turquoise
gbr.69.20	BRD4-interacting chromatin-remodeling complex-associated protein-like	turquoise
gbr.71.37	protein giant	turquoise
gbr.196.42	casein kinase II subunit beta	turquoise
gbr.16.47	UHRF1-binding protein 1	turquoise
gbr.114.31	protein kinase C-binding protein NELL2-like isoform X1	turquoise
gbr.47.75	adhesion G-protein coupled receptor D1-like	turquoise
gbr.139.36	protein disulfide-isomerase A6 homolog	turquoise
gbr.200.9	myotubularin-related protein 3-like isoform X1	turquoise
gbr.11.114	calcium and integrin-binding protein 1-like	turquoise
gbr.44.4	ras-associated and pleckstrin homology domains-containing protein 1-like isoform X5	turquoise
gbr.179.3	cytochrome P450 4F22-like	turquoise
gbr.195.1	mucosa-associated lymphoid tissue lymphoma translocation protein 1-like isoform X1	turquoise
gbr.63.72	U4/U6.U5 tri-snRNP-associated protein 1	turquoise
gbr.25.135	quinone oxidoreductase PIG3 isoform X1	turquoise
gbr.262.2	tyrosine-protein kinase BAZ1B-like	turquoise
gbr.82.17	rho GTPase-activating protein 15-like isoform X1	turquoise
gbr.75.88	coiled-coil domain-containing protein 33-like isoform X1	turquoise
gbr.248.11	TBC1 domain family member 15 GTPase-activating protein RAB7	turquoise
gbr.81.115	peripheral plasma membrane protein CASK isoform X4	turquoise
gbr.298.7	ARF GTPase-activating protein GIT2-like isoform X2	turquoise
gbr.3.101	tRNA pseudouridine synthase A, mitochondrial isoform X2	turquoise
gbr.62.37	protein SSUH2 homolog isoform X1	turquoise
gbr.440.5	uncharacterized protein LOC110990838 isoform X1	turquoise
gbr.19.125	zinc finger protein 271-like isoform X1	turquoise
gbr.62.22	acylamino-acid-releasing enzyme	turquoise
gbr.56.62	serine/arginine repetitive matrix protein 1-like	turquoise
gbr.2.198	protein FAM13A-like isoform X1	turquoise
gbr.200.8	serine/threonine-protein kinase Tao isoform X1	turquoise
gbr.163.42	spermatogenesis-defective protein 39 homolog	turquoise
gbr.430.9	fructose-1,6-bisphosphatase 1-like	turquoise
gbr.117.41	lysosomal acid phosphatase isoform X3	turquoise
gbr.88.27	profilin-like	turquoise
gbr.10.4	E3 ubiquitin-protein ligase AMFR-like	turquoise
gbr.8.72	corepressor interacting with RBPJ 1	turquoise
gbr.512.13	probable phospholipid-transporting ATPase IIB isoform X2	turquoise
gbr.6.195	RUN and FYVE domain-containing protein 4	turquoise
gbr.143.26	SPRY domain-containing SOCS box protein 3-like	turquoise
gbr.156.48	PP2C-like domain-containing protein CG9801	turquoise
gbr.169.36	ubiquitin-conjugating enzyme E2 R1	turquoise
gbr.416.10	suppressor of cytokine signaling 7	turquoise
gbr.160.43_gbr.160.44_gbr.160.45	centrosomal protein of 85 kDa-like isoform X2	turquoise
gbr.545.10	solute carrier family 22 member 18-like	turquoise
gbr.37.9	selenocysteine insertion sequence-binding protein 2-like	turquoise
gbr.37.81	folliculin-interacting protein 2-like	turquoise
gbr.701.3	uncharacterized protein LOC110977272 isoform X1	turquoise
gbr.81.204	phosphoribosyl pyrophosphate synthase-associated protein 2-like isoform X2	turquoise
gbr.30.15	FYVE and coiled-coil domain-containing protein 1	turquoise
gbr.77.93	calpain-7 isoform X1	turquoise
gbr.4.6	guanine nucleotide exchange factor for Rab-3A-like	turquoise
gbr.367.19	INO80 complex subunit E-like isoform X2	turquoise
gbr.2.206	ankyrin repeat and KH domain-containing protein 1	turquoise
gbr.21.81_gbr.21.82	aftiphilin isoform X1	turquoise
gbr.7.120	26S proteasome non-ATPase regulatory subunit 1-like	turquoise
gbr.381.4	S-methyl-5'-thioadenosine phosphorylase-like	turquoise
gbr.187.19	alpha-aminoadipic semialdehyde dehydrogenase	turquoise
gbr.449.24	probable palmitoyltransferase ZDHHC1 isoform X2	turquoise
gbr.463.15	Craniofacial development protein 2	turquoise
gbr.39.46	ras-like GTP-binding protein Rho1 isoform X2	turquoise
gbr.372.11	---NA---	turquoise
gbr.414.8	neuropilin and tolloid-like protein 2 isoform X2	turquoise
gbr.79.31	CLK4-associating serine/arginine rich protein	turquoise
gbr.8.140	spondin-1-like	turquoise
gbr.170.15	tumor protein D54-like isoform X1	turquoise
gbr.204.48	uncharacterized protein LOC110981038 isoform X7	turquoise
gbr.76.36	NFX1-type zinc finger-containing protein 1-like	turquoise
gbr.72.121	DNA helicase INO80-like isoform X1	turquoise
gbr.5.104	muscle M-line assembly protein unc-89-like isoform X9	turquoise
gbr.338.9	ubiquitin carboxyl-terminal hydrolase 10	turquoise
gbr.473.7	protein O-glucosyltransferase 1-like	turquoise
gbr.149.27	organic cation transporter protein-like	turquoise
gbr.347.30	peregrin-like isoform X1	turquoise
gbr.107.29	E3 SUMO-protein ligase RanBP2-like	turquoise
gbr.423.6	valine--tRNA ligase	turquoise
gbr.260.9	transmembrane protein 120B	turquoise
gbr.62.41	coiled-coil domain-containing protein 66 isoform X5	turquoise
gbr.12.75	nesprin-1-like isoform X1	turquoise
gbr.564.10	Protein FAM69B	turquoise
gbr.24.85	xyloside xylosyltransferase 1	turquoise
gbr.235.31	ethanolamine kinase 1	turquoise
gbr.64.14	synaptotagmin-7 isoform X4	turquoise
gbr.146.6	roundabout homolog 1-like isoform X1	turquoise
gbr.29.71	methylmalonyl-CoA epimerase	turquoise
gbr.284.23	neural proliferation differentiation and control protein 1	turquoise
gbr.80.30	colorectal mutant cancer protein-like isoform X1	turquoise
gbr.42.19	NXPE family member 3-like	turquoise
gbr.7.169	serine/threonine-protein kinase 26-like isoform X1	turquoise
gbr.71.16	WD repeat and HMG-box DNA-binding protein 1	turquoise
gbr.60.39	Hermansky-Pudlak syndrome 5 protein-like	turquoise
gbr.19.23	TPR and ankyrin repeat-containing protein 1-like isoform X2	turquoise
gbr.16.35	tyrosine-protein phosphatase non-receptor type 5-like	turquoise
gbr.38.48	DNA-directed RNA polymerase, mitochondrial-like	turquoise
gbr.37.68	polycystic kidney disease 2-like 1 protein	turquoise
gbr.47.67	diacylglycerol kinase delta-like isoform X1	turquoise
gbr.81.116	peripheral plasma membrane protein CASK isoform X1	turquoise
gbr.3.165	adhesion G protein-coupled receptor A3-like	turquoise
gbr.172.9	WASH complex subunit 4-like isoform X2	turquoise
gbr.119.4	gamma-butyrobetaine dioxygenase-like isoform X2	turquoise
gbr.106.35	putative zinc finger homeobox protein 3	turquoise
gbr.272.19	rho GTPase-activating protein 190-like isoform X1	turquoise
gbr.162.15	FGFR1 oncogene partner 2	turquoise
gbr.145.17	constitutive coactivator of PPAR-gamma-like protein 1 isoform X1	turquoise
gbr.355.34	carnosine N-methyltransferase-like	turquoise
gbr.17.51	rho-related BTB domain-containing protein 2-like	turquoise
gbr.4.36	staphylococcal nuclease domain-containing protein 1-like	turquoise
gbr.570.2	SID1 transmembrane family member 1	turquoise
gbr.35.80	epidermal growth factor receptor substrate 15-like 1 isoform X1	turquoise
gbr.54.48	protein Shroom3 isoform X5	turquoise
gbr.16.82	liprin-beta-1-like isoform X3	turquoise
gbr.13.32	E3 ubiquitin-protein ligase RNF216-like	turquoise
gbr.342.19	GTP-binding protein Rit2	turquoise
gbr.213.25	EH domain-containing protein 1-like	turquoise
gbr.177.25	microtubule-associated proteins 1A/1B light chain 3C-like	turquoise
gbr.298.9	protein HIRA	turquoise
gbr.6.112	serine/threonine-protein kinase SMG1-like	turquoise
gbr.447.28	glyceraldehyde-3-phosphate dehydrogenase	turquoise
gbr.99.13	potassium voltage-gated channel subfamily H member 1-like	turquoise
gbr.333.13	protein NPAT isoform X2	turquoise
gbr.100.45	gamma-2-syntrophin-like isoform X1	turquoise
gbr.48.37	atlastin-2-like isoform X1	turquoise
gbr.216.9	ligand of Numb protein X 2 isoform X1	turquoise
gbr.225.56	ectopic P granules protein 5 homolog isoform X2	turquoise
gbr.104.62	katanin p80 WD40 repeat-containing subunit B1-like	turquoise
gbr.12.31	lactoylglutathione lyase	turquoise
gbr.17.17	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase-like	turquoise
gbr.118.4	protein unc-80 homolog	turquoise
gbr.570.1	SID1 transmembrane family member 1-like isoform X2	turquoise
gbr.24.1	bombesin receptor subtype-3-like	turquoise
gbr.33.34	guanine nucleotide-binding protein G(i) subunit alpha	turquoise
gbr.258.3	Fanconi anemia group I protein-like	turquoise
gbr.50.5	brain-enriched guanylate kinase-associated protein	turquoise
gbr.8.111	carbamoyl-phosphate synthase [ammonia], mitochondrial-like	turquoise
gbr.15.99	serine/threonine-protein kinase par-1-like isoform X1	turquoise
gbr.343.13	SHC-transforming protein 1-like	turquoise
gbr.408.8	poly [ADP-ribose] polymerase 4-like isoform X3	turquoise
gbr.1.165	rho GTPase-activating protein 100F-like	turquoise
gbr.139.57	translocating chain-associated membrane protein 1-like 1	turquoise
gbr.328.6	DUF21 domain-containing protein At4g33700 isoform X2	turquoise
gbr.86.34	YTH domain-containing protein 1-like isoform X2	turquoise
gbr.201.17	coiled-coil domain-containing protein 9-like isoform X1	turquoise
gbr.133.20	synaptotagmin-14-like isoform X3	turquoise
gbr.287.32	far upstream element-binding protein 2-like isoform X2	turquoise
gbr.2.125	PDZ and LIM domain protein 7-like isoform X2	turquoise
gbr.83.38	heterogeneous nuclear ribonucleoprotein K-like isoform X1	turquoise
gbr.161.40_gbr.161.41	G-protein coupled receptor GRL101-like	turquoise
gbr.1.138	FAS-associated factor 1	turquoise
gbr.10.144	protein slowmo homolog 2 isoform X2	turquoise
gbr.18.39	nuclear receptor-binding protein	turquoise
gbr.108.8	ubiquinone biosynthesis O-methyltransferase, mitochondrial isoform X2	turquoise
gbr.194.72	coiled-coil domain-containing protein 175-like isoform X1	turquoise
gbr.76.2	rho guanine nucleotide exchange factor 10-like isoform X1	turquoise
gbr.25.35_gbr.25.37	exportin-4	turquoise
gbr.172.20	mitochondrial ribonuclease P protein 1	turquoise
gbr.485.10	E3 ubiquitin-protein ligase TRIM37-like isoform X2	turquoise
gbr.38.36	neuralized-like protein 4	turquoise
gbr.154.32	START domain-containing protein 10-like	turquoise
gbr.32.106	craniofacial development protein 1	turquoise
gbr.218.24	cytochrome P450 3A24-like	turquoise
gbr.226.18	transcription factor SPT20 homolog	turquoise
gbr.60.77	muscle M-line assembly protein unc-89-like	turquoise
gbr.362.16	TPR and ankyrin repeat-containing protein 1-like	turquoise
gbr.175.8	E3 ubiquitin-protein ligase RNF34-like isoform X1	turquoise
gbr.15.17	lipoxygenase homology domain-containing protein 1-like	turquoise
gbr.177.34	daf-12-interacting protein 1-like	turquoise
gbr.184.13	mediator of RNA polymerase II transcription subunit 12-like protein	turquoise
